,Unnamed: 0,model_number,Timestamp,Latitude,Longitude,Voltage,Current,State Of Charge,BM_MaxCellVolt,BM_MaxCellID,BM_MinCellVolt,Frame_numberV,BM_MinCellID,Max_monomer_temperature,Min_monomer_temperature,Charging_MOS_tube_status,Discharge_MOS_tube_status,Capacity(Ah),Charge_Discharge_cycles,isflag,date,charging_time_diff_min,zone,dqdv,Gaussian_smooth
0,157101,it_350317170589794,2024-06-14 22:58:00,19.1751633,72.856475,48.3,23.7,32.5,2.223,1,2.182,0.041,22,37,35,1,1,12025,117,0,14-06-24,1.0,2,6104.999999999914,7367.390707771731
1,157104,it_350317170589794,2024-06-14 23:01:00,19.1751683,72.8564216,48.5,25.6,35.8,2.229,1,2.19,0.039,22,37,35,1,1,13246,117,0,14-06-24,1.0,2,8139.9999999998845,
2,157108,it_350317170589794,2024-06-14 23:05:00,19.1751016,72.856485,48.7,25.5,40.2,2.239,1,2.2,0.039,22,37,35,1,1,14874,117,0,14-06-24,1.0,2,8140.000000000174,
3,157112,it_350317170589794,2024-06-14 23:09:00,19.175145,72.85652,48.9,24.0,44.6,2.25,1,2.208,0.042,22,37,35,1,1,16502,118,0,14-06-24,1.0,2,7399.9999999998945,
4,157116,it_350317170589794,2024-06-14 23:12:00,19.1751883,72.8565099,49.1,25.0,48.4,2.254,1,2.216,0.038,22,37,35,1,1,17982,118,0,14-06-24,0.55,2,,
5,157145,it_350317170589794,2024-06-14 23:41:00,19.1751133,72.8564766,49.4,26.9,55.0,2.27,1,2.228,0.042,22,37,35,1,1,20387,118,0,14-06-24,1.0,3,6289.999999999911,6385.95366288333
6,157148,it_350317170589794,2024-06-14 23:44:00,19.1751266,72.8564633,49.6,26.0,58.5,2.28,1,2.237,0.043,22,37,35,1,1,21645,118,0,14-06-24,1.0,3,6475.000000000138,6158.041184042795
7,157151,it_350317170589794,2024-06-14 23:47:00,19.1751249,72.8564349,49.8,25.5,62.0,2.29,1,2.246,0.044,22,37,35,1,1,22940,118,0,14-06-24,1.0,3,6289.999999999911,
8,157154,it_350317170589794,2024-06-14 23:50:00,19.1751316,72.8564166,50.0,25.6,65.4,2.3,1,2.256,0.044,22,37,35,1,1,24198,118,0,14-06-24,1.0,3,6659.999999999905,
9,157157,it_350317170589794,2024-06-14 23:53:00,19.1751283,72.8564533,50.2,25.3,68.9,2.309,1,2.266,0.043,22,37,35,1,1,25530,118,0,14-06-24,1.0,3,4070.000000000087,
10,157159,it_350317170589794,2024-06-14 23:55:00,19.1751249,72.856455,50.4,26.0,71.2,2.318,1,2.273,0.045,22,37,35,1,1,26344,118,0,14-06-24,1.0,3,,
11,157232,it_350317170589794,2024-06-15 00:26:00,19.1827366,72.8639666,49.2,2.8,71.0,2.248,9,2.228,0.02,1,37,35,1,1,26270,118,0,15-06-24,18.31666667,4,-inf,
